,ÁVal,MMPP,De fecha,A fecha,Stock inicial,Total ctd.entrada mcía.,Total cantidades salida,Stock de cierre,UMB,Valor inicial,  Total valores entrada,   Total valores salida,Valor final,Mon.,Material,días_mes
63,3,mmpp_37,2017-01-01,2017-01-31,38675.0,10007.148,"            18.607,148",30075.0,KG,"            517.348,86",19962.3,"             32.796,56-","            530.183,12",EUR,,31
64,2,mmpp_38,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
65,3,mmpp_38,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
66,2,mmpp_39,2017-01-01,2017-01-31,2760.0,0.0,0,2760.0,KG,"            303.700,77",524.37,"                524,37-","            303.700,77",EUR,,31
67,2,mmpp_40,2017-01-01,2017-01-31,0.0,0.0,0,0.0,UN,0,0.0,0,0,EUR,,31
68,2,mmpp_41,2017-01-01,2017-01-31,321.182,0.0,                     1,320.182,UN,"             20.503,28",727.28,"                746,88-","             20.522,88",EUR,,31
69,3,mmpp_41,2017-01-01,2017-01-31,80.0,0.0,                     4,76.0,UN,0,37.97,"                107,77-",0,EUR,,31
70,2,mmpp_42,2017-01-01,2017-01-31,0.0,0.0,0,0.0,UN,"              3.277,21",0.0,0,"              3.277,21",EUR,,31
71,2,mmpp_43,2017-01-01,2017-01-31,244.0,0.0,0,244.0,UN,"              3.995,56",786.64,"                786,64-","              3.995,56",EUR,,31
72,2,mmpp_44,2017-01-01,2017-01-31,1501.0,637.165,"             1.618,165",520.0,UN,"            208.945,08",7515.61,"             17.427,38-","            218.856,85",EUR,,31
73,3,mmpp_44,2017-01-01,2017-01-31,7.0,0.0,0,7.0,UN,0,0.0,0,0,EUR,,31
74,2,mmpp_45,2017-01-01,2017-01-31,855.0,2050.82,"             2.175,820",730.0,UN,"            492.941,55",40074.53,"             28.963,78-","            481.830,80",EUR,,31
75,3,mmpp_45,2017-01-01,2017-01-31,10.0,0.0,0,10.0,UN,0,7.5,"                  7,50-",0,EUR,,31
76,2250,mmpp_45,2017-01-01,2017-01-31,318.0,0.0,                   204,114.0,UN,"             93.550,70",540.0,"              2.916,60-","             95.927,30",EUR,,31
77,2,mmpp_46,2017-01-01,2017-01-31,18335.0,0.0,                 5.000,13335.0,UN,"              2.802,42",28.43,"                170,68-","              2.944,67",EUR,,31
78,2,mmpp_47,2017-01-01,2017-01-31,1200.0,0.0,0,1200.0,KG,0,948.0,"                948,00-",0,EUR,,31
79,3,mmpp_47,2017-01-01,2017-01-31,2150.0,0.0,0,2150.0,KG,0,883.78,"                883,78-",0,EUR,,31
80,2,mmpp_48,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,"              1.849,00",0.0,0,"              1.849,00",EUR,,31
81,3,mmpp_48,2017-01-01,2017-01-31,3000.0,0.0,0,3000.0,KG,0,1058.91,"              1.058,91-",0,EUR,,31
82,2250,mmpp_48,2017-01-01,2017-01-31,1175.0,0.0,0,1175.0,KG,0,47.0,"                 47,00-",0,EUR,,31
83,2,mmpp_49,2017-01-01,2017-01-31,380.0,0.0,0,380.0,KG,0,1066.6,"              1.066,60-",0,EUR,,31
84,3,mmpp_49,2017-01-01,2017-01-31,2800.0,0.0,0,2800.0,KG,"             25.144,00",364.0,"                364,00-","             25.144,00",EUR,,31
85,2,mmpp_50,2017-01-01,2017-01-31,3980.0,0.0,                    30,3950.0,UN,"                653,57",5078.18,"              5.146,75-","                722,14",EUR,,31
86,2,mmpp_51,2017-01-01,2017-01-31,0.0,0.0,0,0.0,UN,0,0.0,0,0,EUR,,31
87,3,mmpp_51,2017-01-01,2017-01-31,1240.0,1269.269,"             1.249,269",1260.0,UN,"             52.746,07",7125.73,"              4.426,30-","             50.046,64",EUR,,31
88,2250,mmpp_51,2017-01-01,2017-01-31,563.0,0.0,                    44,519.0,UN,"              6.376,94",332.91,"                454,05-","              6.498,08",EUR,,31
89,2,mmpp_52,2017-01-01,2017-01-31,50350.0,7659.05,"            24.359,050",33650.0,UN,"             40.694,96",890.78,"              2.326,97-","             42.131,15",EUR,,31
90,2,mmpp_53,2017-01-01,2017-01-31,34050.0,1208.2,"             2.508,200",32750.0,UN,"             21.480,55",898.58,"              1.128,52-","             21.710,49",EUR,,31
91,3,mmpp_53,2017-01-01,2017-01-31,0.0,0.0,0,0.0,UN,0,0.0,0,0,EUR,,31
92,3,mmpp_54,2017-01-01,2017-01-31,5423.305,36.705,"             2.142,152",3317.858,UN,"              1.446,10",18.39,"                 96,04-","              1.523,75",EUR,,31
93,2,mmpp_55,2017-01-01,2017-01-31,0.0,0.0,0,0.0,UN,"              3.868,76",5.78,0,"              3.862,98",EUR,,31
94,2,mmpp_56,2017-01-01,2017-01-31,26700.0,19947.037,"            33.297,037",13350.0,KG,"          1.116.095,72",54129.8,"             88.203,16-","          1.150.169,08",EUR,,31
95,3,mmpp_56,2017-01-01,2017-01-31,24779.891,3791.842,"             9.986,733",18585.0,KG,"            532.988,34",11343.36,"             27.135,60-","            548.780,58",EUR,,31
96,2,mmpp_57,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
97,2250,mmpp_57,2017-01-01,2017-01-31,33600.0,135263.772,"           130.113,772",38750.0,KG,"          5.974.674,18",407057.84,"            204.627,16-","          5.772.243,50",EUR,,31
98,2,mmpp_58,2017-01-01,2017-01-31,24400.0,24400.0,                24.400,24400.0,KG,"            331.057,04",63978.17,"             63.978,17-","            331.057,04",EUR,,31
99,2,mmpp_59,2017-01-01,2017-01-31,0.0,0.0,0,0.0,UN,"              4.917,01",0.0,0,"              4.917,01",EUR,,31
100,3,mmpp_59,2017-01-01,2017-01-31,791.0,0.0,                   161,630.0,UN,0,23.73,"                427,84-","                277,74",EUR,,31
101,2,mmpp_60,2017-01-01,2017-01-31,754.0,0.0,0,754.0,UN,"              1.026,94",15.83,"                 15,83-","              1.026,94",EUR,,31
102,3,mmpp_60,2017-01-01,2017-01-31,794.0,0.0,                    80,714.0,UN,"              2.052,65",109.58,"                327,10-","              2.270,17",EUR,,31
103,9,mmpp_60,2017-01-01,2017-01-31,0.0,0.0,0,0.0,UN,0,0.0,0,0,EUR,,31
104,2,mmpp_61,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
105,3,mmpp_61,2017-01-01,2017-01-31,9843.686,0.0,"             1.198,080",8645.606,KG,"            701.392,15",33277.22,"             62.197,56-","            730.312,49",EUR,,31
106,3,mmpp_62,2017-01-01,2017-01-31,13194.1,22640.0,"            15.920,150",19913.95,KG,"            514.217,34",47855.11,"             17.174,07-","            483.536,30",EUR,,31
107,2,mmpp_63,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
108,3,mmpp_63,2017-01-01,2017-01-31,4256.96,4166.28,"             3.881,240",4542.0,KG,"          2.129.580,07",452251.27,"            292.278,98-","          1.969.607,78",EUR,,31
109,2,mmpp_64,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
110,3,mmpp_64,2017-01-01,2017-01-31,4620.0,913.949,"             1.513,949",4020.0,KG,"            139.978,84",18689.55,"             28.290,91-","            149.580,20",EUR,,31
111,3,mmpp_65,2017-01-01,2017-01-31,1056.0,0.0,0,1056.0,KG,"            602.831,44",23548.8,"             23.548,80-","            602.831,44",EUR,,31
112,3,mmpp_66,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,"          2.268.821,98",0.0,0,"          2.268.821,98",EUR,,31
113,2,mmpp_67,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
114,3,mmpp_67,2017-01-01,2017-01-31,1750.0,29.472,"                29,472",1750.0,KG,"            154.792,54",1204.56,"              1.204,56-","            154.792,54",EUR,,31
115,2,mmpp_68,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
116,3,mmpp_68,2017-01-01,2017-01-31,2086.52,764.086,"             1.584,846",1265.76,KG,"            773.650,71",64247.56,"            131.293,90-","            840.697,05",EUR,,31
117,2,mmpp_69,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
118,3,mmpp_69,2017-01-01,2017-01-31,4140.0,922.399,"             1.942,399",3120.0,KG,"             69.837,51",23483.48,"             47.678,27-","             94.032,30",EUR,,31
119,2,mmpp_70,2017-01-01,2017-01-31,940.0,953.753,"             1.093,753",800.0,KG,"              9.078,14",2825.78,"              3.232,34-","              9.484,70",EUR,,31
120,3,mmpp_70,2017-01-01,2017-01-31,659.989,2037.522,"             1.217,511",1480.0,KG,"            128.089,98",11673.91,"              3.727,89-","            120.143,96",EUR,,31
121,2250,mmpp_70,2017-01-01,2017-01-31,753.4,1608.547,"               395,347",1966.6,KG,"             15.492,96",9026.36,"              1.335,63-","              7.802,23",EUR,,31
122,2,mmpp_71,2017-01-01,2017-01-31,10500.0,11036.703,"            16.936,703",4600.0,KG,"          1.089.103,12",66212.65,"             97.485,93-","          1.120.376,40",EUR,,31
123,3,mmpp_71,2017-01-01,2017-01-31,10799.778,17605.591,"            16.205,369",12200.0,KG,"          2.887.000,10",172616.3,"             90.771,16-","          2.805.154,96",EUR,,31
124,2,mmpp_72,2017-01-01,2017-01-31,2475.0,2656.322,"             3.381,322",1750.0,KG,"             81.435,21",16632.52,"             20.459,58-","             85.262,27",EUR,,31
125,3,mmpp_72,2017-01-01,2017-01-31,1074.99,2125.468,"             1.275,458",1925.0,KG,"            165.060,46",21549.04,"              8.066,03-","            151.577,45",EUR,,31
126,2250,mmpp_72,2017-01-01,2017-01-31,8996.7,6488.564,"             7.583,764",7901.5,KG,"            924.896,23",71776.77,"             50.129,32-","            903.248,78",EUR,,31
127,2,mmpp_73,2017-01-01,2017-01-31,10425.0,27377.662,"            26.927,662",10875.0,KG,"          2.562.867,18",356499.5,"            271.832,07-","          2.478.199,75",EUR,,31
128,2,mmpp_74,2017-01-01,2017-01-31,4400.187,7681.42,"             9.521,607",2560.0,KG,"            301.547,93",48352.68,"             49.581,58-","            302.776,83",EUR,,31
129,3,mmpp_74,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
130,2250,mmpp_74,2017-01-01,2017-01-31,979.5,21.085,"               709,285",291.3,KG,"             86.245,21",383.27,"              4.033,20-","             89.895,14",EUR,,31
131,2,mmpp_75,2017-01-01,2017-01-31,45137.0,45137.0,                45.137,45137.0,KG,"            278.332,19",42130.12,"             42.130,12-","            278.332,19",EUR,,31
132,3,mmpp_75,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
133,9,mmpp_75,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
134,2,mmpp_76,2017-01-01,2017-01-31,3985.172,20.25,"                20,250",3985.172,KG,"            576.600,68",10959.91,"             10.959,91-","            576.600,68",EUR,,31
135,9,mmpp_76,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
136,2,mmpp_77,2017-01-01,2017-01-31,9216.0,5664.6,"            14.880,600",0.0,KG,"          2.189.075,22",82926.83,"            210.476,27-","          2.316.624,66",EUR,,31
137,9,mmpp_77,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
138,3,mmpp_78,2017-01-01,2017-01-31,3638.901,31.299,"                62,299",3607.901,UN,"              2.401,79",498.13,"                531,88-","              2.435,54",EUR,,31
139,2,mmpp_79,2017-01-01,2017-01-31,404.0,0.0,                    67,337.0,UN,"              7.292,28",0.0,"                134,67-","              7.426,95",EUR,,31
140,3,mmpp_79,2017-01-01,2017-01-31,0.0,0.0,0,0.0,UN,0,0.0,0,0,EUR,,31
141,2,mmpp_80,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
142,3,mmpp_80,2017-01-01,2017-01-31,43641.0,49256.949,"            33.586,949",59311.0,KG,0,451120.39,"            399.010,07-",0,EUR,,31
143,3,mmpp_81,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
144,9,mmpp_81,2017-01-01,2017-01-31,78562.5,62287.5,               132.150,8700.0,KG,"          1.245.870,78",155753.95,"            306.217,16-","          1.396.333,99",EUR,,31
145,2,mmpp_82,2017-01-01,2017-01-31,104.03,260.0,                   302,62.03,UN,"            951.701,35",53378.97,"             30.915,75-","            929.238,13",EUR,,31
146,3,mmpp_82,2017-01-01,2017-01-31,52.0,52.0,                    53,51.0,UN,"             90.368,59",10952.38,"              5.605,50-","             85.021,71",EUR,,31
147,2,mmpp_83,2017-01-01,2017-01-31,4175.0,4175.0,                 4.175,4175.0,KG,"             94.507,27",16356.48,"             16.356,48-","             94.507,27",EUR,,31
148,3,mmpp_83,2017-01-01,2017-01-31,1733.366,0.0,0,1733.366,KG,0,329.34,"                329,34-",0,EUR,,31
149,2250,mmpp_83,2017-01-01,2017-01-31,4950.0,3150.384,"             3.225,384",4875.0,KG,"            175.446,14",24952.31,"             13.561,58-","            164.055,41",EUR,,31
150,2,mmpp_84,2017-01-01,2017-01-31,7112.575,7112.575,"             7.530,575",6694.575,KG,"             46.904,22",19871.37,"             20.918,69-","             47.951,54",EUR,,31
151,3,mmpp_84,2017-01-01,2017-01-31,3100.0,0.0,0,3100.0,KG,0,203.11,"                203,11-",0,EUR,,31
152,2,mmpp_85,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
153,3,mmpp_85,2017-01-01,2017-01-31,1478.5,119.5,"               400,250",1197.75,KG,"             10.341,40",711.96,"              1.076,01-","             10.705,45",EUR,,31
154,2250,mmpp_85,2017-01-01,2017-01-31,7250.0,341.358,"               691,358",6900.0,KG,"            225.826,59",5314.45,"              5.803,80-","            226.315,94",EUR,,31
155,2,mmpp_86,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
156,3,mmpp_86,2017-01-01,2017-01-31,30898.432,25100.0,"            20.183,312",35815.12,KG,"            395.589,91",33182.31,"             13.674,24-","            376.081,84",EUR,,31
157,2,mmpp_87,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
158,3,mmpp_87,2017-01-01,2017-01-31,358.0,156.263,"                96,263",418.0,KG,"            127.588,33",23965.61,"             16.090,00-","            119.712,72",EUR,,31
159,2,mmpp_88,2017-01-01,2017-01-31,50380.0,3750.579,"             7.380,579",46750.0,KG,"             91.686,49",6248.22,"              9.533,32-","             94.971,59",EUR,,31
160,3,mmpp_88,2017-01-01,2017-01-31,307764.0,3272.076,"             5.339,076",305697.0,KG,0,9039.78,"             10.841,86-",0,EUR,,31
161,2250,mmpp_88,2017-01-01,2017-01-31,64600.458,0.0,                 1.750,62850.458,KG,"             76.027,81",336.78,"              1.959,66-","             77.650,69",EUR,,31
162,2,mmpp_89,2017-01-01,2017-01-31,1528.0,2142.262,"             2.738,262",932.0,KG,"            167.159,27",18497.21,"             23.355,58-","            172.017,64",EUR,,31
163,3,mmpp_89,2017-01-01,2017-01-31,2685.0,1643.305,"             1.879,805",2448.5,KG,"            208.643,70",20606.7,"             16.347,90-","            204.384,90",EUR,,31
164,2,mmpp_90,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
165,3,mmpp_90,2017-01-01,2017-01-31,590.0,133.982,"               153,682",570.3,KG,"             50.447,87",4483.03,"              5.071,34-","             51.036,18",EUR,,31
166,2,mmpp_91,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
167,3,mmpp_91,2017-01-01,2017-01-31,0.116,0.0,0,0.116,KG,0,0.0,0,0,EUR,,31
168,2,mmpp_92,2017-01-01,2017-01-31,180.0,120.0,0,300.0,KG,"             17.719,33",2634.0,"                 66,00-","             15.151,33",EUR,,31
169,2,mmpp_93,2017-01-01,2017-01-31,0.0,0.0,0,0.0,KG,0,0.0,0,0,EUR,,31
170,3,mmpp_93,2017-01-01,2017-01-31,1475.0,506.165,"             1.006,165",975.0,KG,"             58.251,75",3090.08,"              6.025,07-","             61.186,74",EUR,,31
171,2,mmpp_94,2017-01-01,2017-01-31,1613.02,33.145,"               593,165",1053.0,KG,"             20.868,38",521.15,"              1.570,72-","             21.917,95",EUR,,31
172,3,mmpp_95,2017-01-01,2017-01-31,70615.893,58784.635,"            73.515,342",55885.186,KG,"          1.802.889,99",142218.92,"            129.692,81-","          1.790.363,88",EUR,,31
173,9,mmpp_95,2017-01-01,2017-01-31,7063.4,22425.609,"            14.474,009",15015.0,KG,"            306.621,90",57743.17,"             25.488,54-","            274.367,27",EUR,,31
174,2,mmpp_96,2017-01-01,2017-01-31,9855.0,10292.021,"             5.027,021",15120.0,KG,"            136.223,41",31511.66,"             10.297,68-","            115.009,43",EUR,,31
175,2,mmpp_97,2017-01-01,2017-01-31,20170.0,9076.257,"            15.914,257",13332.0,KG,"            229.456,03",15884.67,"             26.996,13-","            240.567,49",EUR,,31
176,3,mmpp_98,2017-01-01,2017-01-31,11550.0,3000.0,"            11.341,853",3208.147,KG,"            760.664,95",20157.32,"             35.420,85-","            775.928,48",EUR,,31
177,2,mmpp_99,2017-01-01,2017-01-31,4045.0,825.91,"             2.510,910",2360.0,KG,"            172.797,96",1667.45,"              4.060,89-","            175.191,40",EUR,,31
178,3,mmpp_99,2017-01-01,2017-01-31,5491.0,15368.11,"             6.285,110",14574.0,KG,"            401.668,42",38700.67,"              9.216,11-","            372.183,86",EUR,,31
179,2250,mmpp_99,2017-01-01,2017-01-31,2276.0,20100.0,                 3.148,19228.0,KG,"            154.626,57",56755.23,"              4.991,68-","            102.863,02",EUR,,31
180,2,mmpp_100,2017-01-01,2017-01-31,144732.0,364911.996,"           377.582,996",132061.0,KG,"          2.167.829,36",287572.35,"            252.090,37-","          2.132.347,38",EUR,,31
