,id_mmpp,Consumo_diario,Plazo de entrega,Stock de seguridad,punto_pedido
597,3_mmpp_12,37.10263378425251,20.0,0.0,742.0526756850502
598,3_mmpp_120,6449.730161453842,4.0,0.0,25798.920645815368
599,3_mmpp_121,803.0809811208563,6.0,0.0,4818.485886725138
600,3_mmpp_123,806.9784522645062,30.0,15000.0,39209.35356793519
601,3_mmpp_124,1329.74686685744,28.0,21000.0,58232.91227200832
602,3_mmpp_125,2388.399696008622,30.0,13000.0,84651.99088025866
603,3_mmpp_126,1.5782171349288934,15.0,140.0,163.6732570239334
604,3_mmpp_127,1797.4284176948615,8.0,50000.0,64379.42734155889
605,3_mmpp_128,934.3894281948368,90.0,7500.0,91595.04853753532
606,3_mmpp_129,9.54630593132154,25.0,4400.0,4638.657648283039
607,3_mmpp_13,2057.831764451712,9.0,20000.0,38520.485880065404
608,3_mmpp_130,16.29827349982657,14.0,1000.0,1228.175828997572
609,3_mmpp_131,39.43389472771419,30.0,3600.0,4783.016841831426
610,3_mmpp_132,47.2512099425202,20.0,200.0,1145.024198850404
611,3_mmpp_135,21.005030838412367,25.0,1080.0,1605.1257709603092
612,3_mmpp_137,8.909813428472326,15.0,300.0,433.6472014270849
613,3_mmpp_139,51022.03931563599,10.0,120000.0,630220.3931563599
614,3_mmpp_142,24.900185483870967,2.0,1000.0,1049.8003709677419
615,3_mmpp_144,3244.174394603835,15.0,35000.0,83662.61591905753
616,3_mmpp_15,8960.617213418564,1.0,0.0,8960.617213418564
617,3_mmpp_150,13.424037460978148,2.0,1000.0,1026.8480749219564
618,3_mmpp_151,106.95046669887518,2.0,1300.0,1513.9009333977504
619,3_mmpp_155,175.06649258956443,20.0,2500.0,6001.329851791288
620,3_mmpp_16,336.4117362866062,5.0,1600000.0,1601682.058681433
621,3_mmpp_17,22103.95689159605,5.0,1600000.0,1710519.7844579802
622,3_mmpp_175,292.51799909568405,2.0,3000.0,3585.035998191368
623,3_mmpp_177,8.26082486992716,2.0,1000.0,1016.5216497398543
624,3_mmpp_178,850.9226529507953,7.0,3000.0,8956.458570655566
625,3_mmpp_179,311.7672255884248,60.0,8000.0,26706.03353530549
626,3_mmpp_18,38.27636284128636,20.0,1.0,766.5272568257271
627,3_mmpp_180,1.2649406867845994,15.0,0.0,18.97411030176899
628,3_mmpp_181,15.164984485407064,30.0,1000.0,1454.949534562212
629,3_mmpp_183,104.42268550864677,28.0,3000.0,5923.8351942421095
630,3_mmpp_184,57.58806388434666,15.0,1000.0,1863.8209582651998
631,3_mmpp_186,420.2613072221397,28.0,10000.0,21767.31660221991
632,3_mmpp_187,10.86516912937912,28.0,600.0,904.2247356226153
633,3_mmpp_188,154.21265717506566,15.0,3500.0,5813.189857625985
634,3_mmpp_189,195.12345335711808,35.0,10000.0,16829.320867499133
635,3_mmpp_19,57.00868656161737,15.0,3000.0,3855.13029842426
636,3_mmpp_190,234.0562781824489,7.0,0.0,1638.3939472771422
637,3_mmpp_195,163.63779973489915,15.0,2800.0,5254.566996023487
638,3_mmpp_196,3.0747443981963234,15.0,0.0,46.12116597294485
639,3_mmpp_199,58.27263267429761,15.0,0.0,874.0894901144642
640,3_mmpp_20,24.351690263118776,15.0,2000.0,2365.2753539467817
641,3_mmpp_201,0.0060913978494623,15.0,2.5,2.5913709677419345
642,3_mmpp_202,0.0178459937565036,15.0,2.5,2.767689906347554
643,3_mmpp_208,187.0437044745057,15.0,75000.0,77805.65556711759
