,ÁVal,MMPP,De fecha,A fecha,Stock inicial,Total ctd.entrada mcía.,Total cantidades salida,Stock de cierre,UMB,Valor inicial,  Total valores entrada,   Total valores salida,Valor final,Mon.,Material,días_mes,Consumo_diario,id_mmpp
78,2,mmpp_47,2017-01-01,2017-01-31,1200.0,0.0,0.0,1200.0,KG,0,948.0,"                948,00-",0,EUR,,31,0.0,2_mmpp_47
79,3,mmpp_47,2017-01-01,2017-01-31,2150.0,0.0,0.0,2150.0,KG,0,883.78,"                883,78-",0,EUR,,31,0.0,3_mmpp_47
80,2,mmpp_48,2017-01-01,2017-01-31,0.0,0.0,0.0,0.0,KG,"              1.849,00",0.0,0,"              1.849,00",EUR,,31,0.0,2_mmpp_48
81,3,mmpp_48,2017-01-01,2017-01-31,3000.0,0.0,0.0,3000.0,KG,0,1058.91,"              1.058,91-",0,EUR,,31,0.0,3_mmpp_48
82,2250,mmpp_48,2017-01-01,2017-01-31,1175.0,0.0,0.0,1175.0,KG,0,47.0,"                 47,00-",0,EUR,,31,0.0,2250_mmpp_48
83,2,mmpp_49,2017-01-01,2017-01-31,380.0,0.0,0.0,380.0,KG,0,1066.6,"              1.066,60-",0,EUR,,31,0.0,2_mmpp_49
84,3,mmpp_49,2017-01-01,2017-01-31,2800.0,0.0,0.0,2800.0,KG,"             25.144,00",364.0,"                364,00-","             25.144,00",EUR,,31,0.0,3_mmpp_49
85,2,mmpp_50,2017-01-01,2017-01-31,3980.0,0.0,30.0,3950.0,UN,"                653,57",5078.18,"              5.146,75-","                722,14",EUR,,31,0.967741935483871,2_mmpp_50
86,2,mmpp_51,2017-01-01,2017-01-31,0.0,0.0,0.0,0.0,UN,0,0.0,0,0,EUR,,31,0.0,2_mmpp_51
87,3,mmpp_51,2017-01-01,2017-01-31,1240.0,1269.269,1249.269,1260.0,UN,"             52.746,07",7125.73,"              4.426,30-","             50.046,64",EUR,,31,40.299,3_mmpp_51
88,2250,mmpp_51,2017-01-01,2017-01-31,563.0,0.0,44.0,519.0,UN,"              6.376,94",332.91,"                454,05-","              6.498,08",EUR,,31,1.4193548387096775,2250_mmpp_51
89,2,mmpp_52,2017-01-01,2017-01-31,50350.0,7659.05,24359.05,33650.0,UN,"             40.694,96",890.78,"              2.326,97-","             42.131,15",EUR,,31,785.7758064516129,2_mmpp_52
90,2,mmpp_53,2017-01-01,2017-01-31,34050.0,1208.2,2508.2,32750.0,UN,"             21.480,55",898.58,"              1.128,52-","             21.710,49",EUR,,31,80.90967741935484,2_mmpp_53
91,3,mmpp_53,2017-01-01,2017-01-31,0.0,0.0,0.0,0.0,UN,0,0.0,0,0,EUR,,31,0.0,3_mmpp_53
92,3,mmpp_54,2017-01-01,2017-01-31,5423.305,36.705,2142.152,3317.858,UN,"              1.446,10",18.39,"                 96,04-","              1.523,75",EUR,,31,69.10167741935484,3_mmpp_54
93,2,mmpp_55,2017-01-01,2017-01-31,0.0,0.0,0.0,0.0,UN,"              3.868,76",5.78,0,"              3.862,98",EUR,,31,0.0,2_mmpp_55
94,2,mmpp_56,2017-01-01,2017-01-31,26700.0,19947.037,33297.037,13350.0,KG,"          1.116.095,72",54129.8,"             88.203,16-","          1.150.169,08",EUR,,31,1074.0979677419355,2_mmpp_56
95,3,mmpp_56,2017-01-01,2017-01-31,24779.891,3791.842,9986.733,18585.0,KG,"            532.988,34",11343.36,"             27.135,60-","            548.780,58",EUR,,31,322.15267741935486,3_mmpp_56
96,2,mmpp_57,2017-01-01,2017-01-31,0.0,0.0,0.0,0.0,KG,0,0.0,0,0,EUR,,31,0.0,2_mmpp_57
97,2250,mmpp_57,2017-01-01,2017-01-31,33600.0,135263.772,130113.772,38750.0,KG,"          5.974.674,18",407057.84,"            204.627,16-","          5.772.243,50",EUR,,31,4197.218451612903,2250_mmpp_57
98,2,mmpp_58,2017-01-01,2017-01-31,24400.0,24400.0,24400.0,24400.0,KG,"            331.057,04",63978.17,"             63.978,17-","            331.057,04",EUR,,31,787.0967741935484,2_mmpp_58
99,2,mmpp_59,2017-01-01,2017-01-31,0.0,0.0,0.0,0.0,UN,"              4.917,01",0.0,0,"              4.917,01",EUR,,31,0.0,2_mmpp_59
100,3,mmpp_59,2017-01-01,2017-01-31,791.0,0.0,161.0,630.0,UN,0,23.73,"                427,84-","                277,74",EUR,,31,5.193548387096774,3_mmpp_59
101,2,mmpp_60,2017-01-01,2017-01-31,754.0,0.0,0.0,754.0,UN,"              1.026,94",15.83,"                 15,83-","              1.026,94",EUR,,31,0.0,2_mmpp_60
102,3,mmpp_60,2017-01-01,2017-01-31,794.0,0.0,80.0,714.0,UN,"              2.052,65",109.58,"                327,10-","              2.270,17",EUR,,31,2.5806451612903225,3_mmpp_60
103,9,mmpp_60,2017-01-01,2017-01-31,0.0,0.0,0.0,0.0,UN,0,0.0,0,0,EUR,,31,0.0,9_mmpp_60
104,2,mmpp_61,2017-01-01,2017-01-31,0.0,0.0,0.0,0.0,KG,0,0.0,0,0,EUR,,31,0.0,2_mmpp_61
105,3,mmpp_61,2017-01-01,2017-01-31,9843.686,0.0,1198.08,8645.606,KG,"            701.392,15",33277.22,"             62.197,56-","            730.312,49",EUR,,31,38.64774193548387,3_mmpp_61
106,3,mmpp_62,2017-01-01,2017-01-31,13194.1,22640.0,15920.15,19913.95,KG,"            514.217,34",47855.11,"             17.174,07-","            483.536,30",EUR,,31,513.5532258064516,3_mmpp_62
107,2,mmpp_63,2017-01-01,2017-01-31,0.0,0.0,0.0,0.0,KG,0,0.0,0,0,EUR,,31,0.0,2_mmpp_63
108,3,mmpp_63,2017-01-01,2017-01-31,4256.96,4166.28,3881.24,4542.0,KG,"          2.129.580,07",452251.27,"            292.278,98-","          1.969.607,78",EUR,,31,125.20129032258063,3_mmpp_63
109,2,mmpp_64,2017-01-01,2017-01-31,0.0,0.0,0.0,0.0,KG,0,0.0,0,0,EUR,,31,0.0,2_mmpp_64
110,3,mmpp_64,2017-01-01,2017-01-31,4620.0,913.949,1513.949,4020.0,KG,"            139.978,84",18689.55,"             28.290,91-","            149.580,20",EUR,,31,48.83706451612903,3_mmpp_64
111,3,mmpp_65,2017-01-01,2017-01-31,1056.0,0.0,0.0,1056.0,KG,"            602.831,44",23548.8,"             23.548,80-","            602.831,44",EUR,,31,0.0,3_mmpp_65
112,3,mmpp_66,2017-01-01,2017-01-31,0.0,0.0,0.0,0.0,KG,"          2.268.821,98",0.0,0,"          2.268.821,98",EUR,,31,0.0,3_mmpp_66
113,2,mmpp_67,2017-01-01,2017-01-31,0.0,0.0,0.0,0.0,KG,0,0.0,0,0,EUR,,31,0.0,2_mmpp_67
114,3,mmpp_67,2017-01-01,2017-01-31,1750.0,29.472,29.472,1750.0,KG,"            154.792,54",1204.56,"              1.204,56-","            154.792,54",EUR,,31,0.9507096774193549,3_mmpp_67
115,2,mmpp_68,2017-01-01,2017-01-31,0.0,0.0,0.0,0.0,KG,0,0.0,0,0,EUR,,31,0.0,2_mmpp_68
116,3,mmpp_68,2017-01-01,2017-01-31,2086.52,764.086,1584.846,1265.76,KG,"            773.650,71",64247.56,"            131.293,90-","            840.697,05",EUR,,31,51.12406451612903,3_mmpp_68
117,2,mmpp_69,2017-01-01,2017-01-31,0.0,0.0,0.0,0.0,KG,0,0.0,0,0,EUR,,31,0.0,2_mmpp_69
118,3,mmpp_69,2017-01-01,2017-01-31,4140.0,922.399,1942.399,3120.0,KG,"             69.837,51",23483.48,"             47.678,27-","             94.032,30",EUR,,31,62.658032258064516,3_mmpp_69
119,2,mmpp_70,2017-01-01,2017-01-31,940.0,953.753,1093.753,800.0,KG,"              9.078,14",2825.78,"              3.232,34-","              9.484,70",EUR,,31,35.28235483870967,2_mmpp_70
120,3,mmpp_70,2017-01-01,2017-01-31,659.989,2037.522,1217.511,1480.0,KG,"            128.089,98",11673.91,"              3.727,89-","            120.143,96",EUR,,31,39.27454838709677,3_mmpp_70
121,2250,mmpp_70,2017-01-01,2017-01-31,753.4,1608.547,395.347,1966.6,KG,"             15.492,96",9026.36,"              1.335,63-","              7.802,23",EUR,,31,12.753129032258064,2250_mmpp_70
122,2,mmpp_71,2017-01-01,2017-01-31,10500.0,11036.703,16936.703,4600.0,KG,"          1.089.103,12",66212.65,"             97.485,93-","          1.120.376,40",EUR,,31,546.3452580645162,2_mmpp_71
123,3,mmpp_71,2017-01-01,2017-01-31,10799.778,17605.591,16205.369,12200.0,KG,"          2.887.000,10",172616.3,"             90.771,16-","          2.805.154,96",EUR,,31,522.7538387096774,3_mmpp_71
124,2,mmpp_72,2017-01-01,2017-01-31,2475.0,2656.322,3381.322,1750.0,KG,"             81.435,21",16632.52,"             20.459,58-","             85.262,27",EUR,,31,109.07490322580645,2_mmpp_72
125,3,mmpp_72,2017-01-01,2017-01-31,1074.99,2125.468,1275.458,1925.0,KG,"            165.060,46",21549.04,"              8.066,03-","            151.577,45",EUR,,31,41.1438064516129,3_mmpp_72
126,2250,mmpp_72,2017-01-01,2017-01-31,8996.7,6488.564,7583.764,7901.5,KG,"            924.896,23",71776.77,"             50.129,32-","            903.248,78",EUR,,31,244.63754838709679,2250_mmpp_72
127,2,mmpp_73,2017-01-01,2017-01-31,10425.0,27377.662,26927.662,10875.0,KG,"          2.562.867,18",356499.5,"            271.832,07-","          2.478.199,75",EUR,,31,868.6342580645162,2_mmpp_73
128,2,mmpp_74,2017-01-01,2017-01-31,4400.187,7681.42,9521.607,2560.0,KG,"            301.547,93",48352.68,"             49.581,58-","            302.776,83",EUR,,31,307.1486129032258,2_mmpp_74
129,3,mmpp_74,2017-01-01,2017-01-31,0.0,0.0,0.0,0.0,KG,0,0.0,0,0,EUR,,31,0.0,3_mmpp_74
130,2250,mmpp_74,2017-01-01,2017-01-31,979.5,21.085,709.285,291.3,KG,"             86.245,21",383.27,"              4.033,20-","             89.895,14",EUR,,31,22.88016129032258,2250_mmpp_74
131,2,mmpp_75,2017-01-01,2017-01-31,45137.0,45137.0,45137.0,45137.0,KG,"            278.332,19",42130.12,"             42.130,12-","            278.332,19",EUR,,31,1456.032258064516,2_mmpp_75
132,3,mmpp_75,2017-01-01,2017-01-31,0.0,0.0,0.0,0.0,KG,0,0.0,0,0,EUR,,31,0.0,3_mmpp_75
133,9,mmpp_75,2017-01-01,2017-01-31,0.0,0.0,0.0,0.0,KG,0,0.0,0,0,EUR,,31,0.0,9_mmpp_75
134,2,mmpp_76,2017-01-01,2017-01-31,3985.172,20.25,20.25,3985.172,KG,"            576.600,68",10959.91,"             10.959,91-","            576.600,68",EUR,,31,0.6532258064516129,2_mmpp_76
135,9,mmpp_76,2017-01-01,2017-01-31,0.0,0.0,0.0,0.0,KG,0,0.0,0,0,EUR,,31,0.0,9_mmpp_76
136,2,mmpp_77,2017-01-01,2017-01-31,9216.0,5664.6,14880.6,0.0,KG,"          2.189.075,22",82926.83,"            210.476,27-","          2.316.624,66",EUR,,31,480.0193548387097,2_mmpp_77
137,9,mmpp_77,2017-01-01,2017-01-31,0.0,0.0,0.0,0.0,KG,0,0.0,0,0,EUR,,31,0.0,9_mmpp_77
138,3,mmpp_78,2017-01-01,2017-01-31,3638.901,31.299,62.299,3607.901,UN,"              2.401,79",498.13,"                531,88-","              2.435,54",EUR,,31,2.009645161290323,3_mmpp_78
139,2,mmpp_79,2017-01-01,2017-01-31,404.0,0.0,67.0,337.0,UN,"              7.292,28",0.0,"                134,67-","              7.426,95",EUR,,31,2.161290322580645,2_mmpp_79
140,3,mmpp_79,2017-01-01,2017-01-31,0.0,0.0,0.0,0.0,UN,0,0.0,0,0,EUR,,31,0.0,3_mmpp_79
141,2,mmpp_80,2017-01-01,2017-01-31,0.0,0.0,0.0,0.0,KG,0,0.0,0,0,EUR,,31,0.0,2_mmpp_80
142,3,mmpp_80,2017-01-01,2017-01-31,43641.0,49256.949,33586.949,59311.0,KG,0,451120.39,"            399.010,07-",0,EUR,,31,1083.4499677419356,3_mmpp_80
143,3,mmpp_81,2017-01-01,2017-01-31,0.0,0.0,0.0,0.0,KG,0,0.0,0,0,EUR,,31,0.0,3_mmpp_81
144,9,mmpp_81,2017-01-01,2017-01-31,78562.5,62287.5,132150.0,8700.0,KG,"          1.245.870,78",155753.95,"            306.217,16-","          1.396.333,99",EUR,,31,4262.903225806452,9_mmpp_81
145,2,mmpp_82,2017-01-01,2017-01-31,104.03,260.0,302.0,62.03,UN,"            951.701,35",53378.97,"             30.915,75-","            929.238,13",EUR,,31,9.741935483870968,2_mmpp_82
146,3,mmpp_82,2017-01-01,2017-01-31,52.0,52.0,53.0,51.0,UN,"             90.368,59",10952.38,"              5.605,50-","             85.021,71",EUR,,31,1.7096774193548387,3_mmpp_82
147,2,mmpp_83,2017-01-01,2017-01-31,4175.0,4175.0,4175.0,4175.0,KG,"             94.507,27",16356.48,"             16.356,48-","             94.507,27",EUR,,31,134.67741935483872,2_mmpp_83
148,3,mmpp_83,2017-01-01,2017-01-31,1733.366,0.0,0.0,1733.366,KG,0,329.34,"                329,34-",0,EUR,,31,0.0,3_mmpp_83
149,2250,mmpp_83,2017-01-01,2017-01-31,4950.0,3150.384,3225.384,4875.0,KG,"            175.446,14",24952.31,"             13.561,58-","            164.055,41",EUR,,31,104.04464516129032,2250_mmpp_83
