id_mmpp,Plazo de entrega,Stock de seguridad
2_mmpp_122,15,0.0
2_mmpp_123,21,11000.0
2_mmpp_124,21,10000.0
2_mmpp_127,15,0.0
2_mmpp_13,10,0.0
2_mmpp_130,14,0.0
2_mmpp_131,20,0.0
2_mmpp_133,20,200.0
2_mmpp_134,14,0.0
2_mmpp_135,10,200.0
2_mmpp_136,20,0.0
2_mmpp_138,20,250.0
2_mmpp_139,5,50000.0
2_mmpp_14,20,1.0
2_mmpp_140,10,600.0
2_mmpp_141,10,0.0
2_mmpp_142,3,600.0
2_mmpp_143,45,50000.0
2_mmpp_144,15,10000.0
2_mmpp_145,7,3000.0
2_mmpp_146,42,500.0
2_mmpp_147,30,7500.0
2_mmpp_148,20,1.0
2_mmpp_149,4,1000.0
2_mmpp_15,1,0.0
2_mmpp_152,4,0.0
2_mmpp_155,20,3000.0
2_mmpp_161,20,0.0
2_mmpp_17,10,300.0
2_mmpp_174,20,2000.0
2_mmpp_175,7,0.0
2_mmpp_177,2,250.0
2_mmpp_178,7,3000.0
2_mmpp_179,60,1500.0
2_mmpp_180,25,3500.0
2_mmpp_181,30,0.0
2_mmpp_182,21,8000.0
2_mmpp_183,15,0.0
2_mmpp_184,15,1500.0
2_mmpp_188,20,1000.0
2_mmpp_19,12,0.0
2_mmpp_190,7,0.0
2_mmpp_191,15,6000.0
2_mmpp_192,84,1000.0
2_mmpp_194,15,100.0
2_mmpp_198,49,7000.0
2_mmpp_200,15,0.0
2_mmpp_209,25,0.0
2_mmpp_210,28,0.0
2_mmpp_212,25,0.0
2_mmpp_213,15,0.0
2_mmpp_214,15,600.0
2_mmpp_218,21,6000.0
2_mmpp_220,30,3000.0
2_mmpp_223,30,4000.0
2_mmpp_227,45,2000.0
2_mmpp_23,30,0.0
2_mmpp_236,15,5000.0
2_mmpp_24,15,450.0
2_mmpp_241,15,5000.0
2_mmpp_243,15,150.0
2_mmpp_247,15,2500.0
2_mmpp_248,15,0.0
2_mmpp_249,30,0.0
2_mmpp_257,35,1500.0
2_mmpp_259,40,3000.0
2_mmpp_260,15,400.0
2_mmpp_261,60,3500.0
2_mmpp_264,56,1.0
2_mmpp_265,40,0.0
2_mmpp_266,20,2000.0
2_mmpp_267,21,1000.0
2_mmpp_27,3,1500.0
2_mmpp_271,15,0.0
2_mmpp_272,7,0.0
2_mmpp_28,15,0.0
2_mmpp_282,28,350.0
2_mmpp_285,11,500.0
2_mmpp_288,12,1000.0
2_mmpp_289,4,2000.0
2_mmpp_290,15,0.0
2_mmpp_294,30,0.0
2_mmpp_296,15,0.0
2_mmpp_297,7,1350.0
2_mmpp_3,19,3500.0
2_mmpp_30,15,500.0
2_mmpp_301,15,1600.0
2_mmpp_302,15,2000.0
2_mmpp_303,15,1000.0
2_mmpp_305,0,0.0
2_mmpp_307,11,0.0
2_mmpp_31,40,7000.0
2_mmpp_312,8,50.0
2_mmpp_319,15,2000.0
2_mmpp_32,15,5000.0
2_mmpp_330,15,0.0
2_mmpp_334,15,0.0
2_mmpp_34,7,0.0
2_mmpp_340,7,0.0
2_mmpp_341,15,300.0
